Reading,Well,Filter A,Filter B,Filter C,Filter D,Filter E
6,27,96475,13687,11168,10692,1160
6,28,86847,13440,10599,10848,1526
6,29,81468,13372,10933,11173,1795
6,30,67506,13326,10716,10779,1686
6,31,60385,16216,14703,14621,1582
6,32,408774,671107,672731,226691,2879
6,33,177568,264191,286151,116484,2096
6,34,107732,92209,105546,52977,2431
6,35,115516,32033,32216,22208,2230
6,36,119019,19128,17593,15063,2676
6,37,96164,13363,11255,11273,1328
6,38,101116,14566,12479,11576,2433
6,39,85414,12779,11487,11499,1492
6,40,71064,12309,11540,11545,934
6,41,76367,14883,12919,12182,1256
6,42,90121,14087,11317,12341,1675
6,43,72908,12007,10480,10079,1518
6,44,69871,11579,9925,9974,1302
6,45,62638,11136,9572,9233,1505
6,46,74498,13142,10944,10532,1697
6,47,99481,16703,13697,12607,2371
6,48,103972,15284,12214,11144,2144
6,49,99702,16352,12696,14180,2447
6,50,77669,13786,11747,12224,1672
6,51,58880,11268,9464,10387,1272
6,52,63513,12217,10946,11326,883
6,53,71802,12824,10626,11110,1715
6,54,71811,13797,11775,12868,1593
6,55,55576,13823,11909,10339,1088
6,56,66209,17515,14748,12060,1743
6,57,59885,11573,10057,10247,1807
6,58,64492,11914,10420,10255,1219
6,59,81516,36211,22816,13524,1654
6,60,117261,54898,37560,17668,1691
6,61,100675,15583,13135,14153,1990
6,62,70774,13444,11422,11749,1547
6,63,72409,12717,10518,11698,1762
6,64,146566,66120,34164,17188,2528
6,65,56009,15052,13845,13455,1214
6,66,82258,14333,11941,12575,2036
6,67,62281,14773,13321,12592,1641
6,68,57951,14700,13616,13017,1550
6,69,72705,15537,15018,16861,2009
6,70,54528,14566,14405,13299,1608
6,71,77082,13228,12196,11494,1323
6,72,77554,13114,12707,11410,876
6,73,85044,13660,11330,12960,1545
6,74,64509,18805,18247,19935,4447
6,75,58511,14777,15112,14969,1926
6,76,48144,14154,13479,12953,1556
6,77,70222,16748,16437,15957,2267
6,78,56903,15119,14316,14293,2272
6,79,62702,16083,15411,14972,1737
6,80,60216,15050,14514,13406,2042
6,81,51786,15005,15887,15120,1554
6,82,60383,15145,14637,14317,1537
6,83,67347,14023,13513,13124,1405
6,84,78863,15661,14511,12586,1705
6,85,69009,14509,45438,37335,1297
6,86,77250,11370,10448,11414,10
6,87,63479,11346,9601,10486,1682
6,88,60368,11029,9298,9943,1657
6,89,85394,13524,12560,12231,1509
6,90,75209,13762,12755,12122,1940
6,91,79912,21542,33526,29966,1750
6,92,83578,21904,19119,15549,1876
